age	male	female
30	0.0004	0.00022
31	0.00042	0.00023
32	0.00045	0.00025
33	0.00048	0.00027
34	0.00051	0.00029
35	0.00056	0.00031
36	0.00061	0.00035
37	0.00067	0.00039
38	0.00074	0.00042
39	0.00081	0.00046
40	0.00088	0.0005
41	0.00098	0.00055
42	0.00108	0.0006
43	0.00121	0.00067
44	0.00135	0.00074
45	0.00151	0.00082
46	0.00168	0.00091
47	0.00187	0.001
48	0.00208	0.00111
49	0.00232	0.00122
50	0.00259	0.00135
51	0.00289	0.00148
52	0.00322	0.00161
53	0.00356	0.00174
54	0.00392	0.00186
55	0.0043	0.00198
56	0.00472	0.00209
57	0.00515	0.00219
58	0.00559	0.00231
59	0.00607	0.00246
60	0.00658	0.00264
