”N—î	Ž€–S—¦
0	0.00108
1	0.00075
2	0.00049
3	0.00031
4	0.00021
5	0.00017
6	0.00016
7	0.00016
8	0.00016
9	0.00015
10	0.00014
11	0.00013
12	0.00014
13	0.00018
14	0.00025
15	0.00036
16	0.00049
17	0.00062
18	0.00073
19	0.00080
20	0.00084
21	0.00086
22	0.00085
23	0.00084
24	0.00083
25	0.00082
26	0.00081
27	0.00080
28	0.00081
29	0.00083
30	0.00086
31	0.00089
32	0.00092
33	0.00096
34	0.00100
35	0.00105
36	0.00112
37	0.00119
38	0.00128
39	0.00137
40	0.00148
41	0.00161
42	0.00176
43	0.00192
44	0.00211
45	0.00231
46	0.00254
47	0.00277
48	0.00304
49	0.00333
50	0.00365
51	0.00401
52	0.00440
53	0.00480
54	0.00522
55	0.00567
56	0.00615
57	0.00666
58	0.00718
59	0.00774
60	0.00834
61	0.00902
62	0.00981
63	0.01072
64	0.01180
65	0.01306
66	0.01452
67	0.01616
68	0.01794
69	0.01986
70	0.02193
71	0.02415
72	0.02657
73	0.02923
74	0.03223
75	0.03568
76	0.03961
77	0.04400
78	0.04877
79	0.05425
80	0.06039
81	0.06728
82	0.07500
83	0.08364
84	0.09329
85	0.10407
86	0.11609
87	0.12946
88	0.14432
89	0.16079
90	0.17900
91	0.19910
92	0.22119
93	0.24540
94	0.27184
95	0.30058
96	0.33166
97	0.36510
98	0.40085
99	0.43880
100	0.47877
101	0.52048
102	0.56359
103	0.60761
104	0.65200
105	0.69612
106	0.73925
107	1.00000
